L-BFGS | iteration: 074, total loss=395566022656.0000, content_loss=111862480.4688, style loss=395425440000.0000, tv loss=28711938.0000
L-BFGS | iteration: 075, total loss=392578760704.0000, content_loss=111971367.1875, style loss=392438040000.0000, tv loss=28727640.0000
L-BFGS | iteration: 076, total loss=389681807360.0000, content_loss=112154433.5938, style loss=389540820000.0000, tv loss=28822120.0000
L-BFGS | iteration: 077, total loss=386940043264.0000, content_loss=112187548.8281, style loss=386799000000.0000, tv loss=28825676.0000
L-BFGS | iteration: 078, total loss=384080478208.0000, content_loss=112448427.7344, style loss=383939130000.0000, tv loss=28912040.0000
L-BFGS | iteration: 079, total loss=381380689920.0000, content_loss=112419648.4375, style loss=381239340000.0000, tv loss=28927620.0000
L-BFGS | iteration: 080, total loss=378786545664.0000, content_loss=112611933.5938, style loss=378644910000.0000, tv loss=29009540.0000
L-BFGS | iteration: 081, total loss=376040947712.0000, content_loss=112658095.7031, style loss=375899280000.0000, tv loss=29013010.0000
L-BFGS | iteration: 082, total loss=373433794560.0000, content_loss=112950664.0625, style loss=373291710000.0000, tv loss=29131196.0000
L-BFGS | iteration: 083, total loss=370853216256.0000, content_loss=112772177.7344, style loss=370711320000.0000, tv loss=29081760.0000
L-BFGS | iteration: 084, total loss=368237936640.0000, content_loss=113218701.1719, style loss=368095470000.0000, tv loss=29251016.0000
L-BFGS | iteration: 085, total loss=365615316992.0000, content_loss=113058554.6875, style loss=365473050000.0000, tv loss=29225516.0000
L-BFGS | iteration: 086, total loss=363120263168.0000, content_loss=113192216.7969, style loss=362977770000.0000, tv loss=29311576.0000
L-BFGS | iteration: 087, total loss=360696872960.0000, content_loss=113193515.6250, style loss=360554370000.0000, tv loss=29335856.0000
L-BFGS | iteration: 088, total loss=358340722688.0000, content_loss=113371123.0469, style loss=358197930000.0000, tv loss=29426186.0000
L-BFGS | iteration: 089, total loss=356025499648.0000, content_loss=113456337.8906, style loss=355882590000.0000, tv loss=29450872.0000
L-BFGS | iteration: 090, total loss=353697366016.0000, content_loss=113673779.2969, style loss=353554170000.0000, tv loss=29535756.0000
L-BFGS | iteration: 091, total loss=351422119936.0000, content_loss=113738232.4219, style loss=351278820000.0000, tv loss=29555932.0000
L-BFGS | iteration: 092, total loss=349192617984.0000, content_loss=113954921.8750, style loss=349048980000.0000, tv loss=29650136.0000
L-BFGS | iteration: 093, total loss=347014332416.0000, content_loss=114024042.9688, style loss=346870650000.0000, tv loss=29656190.0000
L-BFGS | iteration: 094, total loss=344877629440.0000, content_loss=114236562.5000, style loss=344733630000.0000, tv loss=29770388.0000
L-BFGS | iteration: 095, total loss=342707240960.0000, content_loss=114242988.2812, style loss=342563250000.0000, tv loss=29760320.0000
L-BFGS | iteration: 096, total loss=340474789888.0000, content_loss=114399707.0312, style loss=340330500000.0000, tv loss=29887008.0000
L-BFGS | iteration: 097, total loss=338250891264.0000, content_loss=114461962.8906, style loss=338106540000.0000, tv loss=29889292.0000
L-BFGS | iteration: 098, total loss=336046686208.0000, content_loss=114624160.1562, style loss=335902080000.0000, tv loss=29993476.0000
L-BFGS | iteration: 099, total loss=333967360000.0000, content_loss=114624912.1094, style loss=333822750000.0000, tv loss=29997466.0000
L-BFGS | iteration: 100, total loss=331905335296.0000, content_loss=114820732.4219, style loss=331760400000.0000, tv loss=30101428.0000
L-BFGS | iteration: 101, total loss=329869393920.0000, content_loss=114853300.7812, style loss=329724420000.0000, tv loss=30127406.0000
L-BFGS | iteration: 102, total loss=327896268800.0000, content_loss=114990712.8906, style loss=327751080000.0000, tv loss=30219096.0000
L-BFGS | iteration: 103, total loss=325924388864.0000, content_loss=115012548.8281, style loss=325779120000.0000, tv loss=30243380.0000
L-BFGS | iteration: 104, total loss=323971547136.0000, content_loss=115235078.1250, style loss=323825970000.0000, tv loss=30340288.0000
L-BFGS | iteration: 105, total loss=322019196928.0000, content_loss=115257431.6406, style loss=321873570000.0000, tv loss=30361112.0000
L-BFGS | iteration: 106, total loss=320160563200.0000, content_loss=115476894.5312, style loss=320014620000.0000, tv loss=30461044.0000
L-BFGS | iteration: 107, total loss=318313889792.0000, content_loss=115486308.5938, style loss=318167970000.0000, tv loss=30453402.0000
L-BFGS | iteration: 108, total loss=316454731776.0000, content_loss=115693730.4688, style loss=316308450000.0000, tv loss=30584034.0000
L-BFGS | iteration: 109, total loss=314622410752.0000, content_loss=115640830.0781, style loss=314476200000.0000, tv loss=30568994.0000
L-BFGS | iteration: 110, total loss=312748244992.0000, content_loss=115824736.3281, style loss=312601740000.0000, tv loss=30684740.0000
L-BFGS | iteration: 111, total loss=310939451392.0000, content_loss=115863681.6406, style loss=310792920000.0000, tv loss=30673116.0000
L-BFGS | iteration: 112, total loss=309093040128.0000, content_loss=116043095.7031, style loss=308946210000.0000, tv loss=30786238.0000
L-BFGS | iteration: 113, total loss=307295551488.0000, content_loss=116138750.0000, style loss=307148610000.0000, tv loss=30807728.0000
L-BFGS | iteration: 114, total loss=305573527552.0000, content_loss=116289912.1094, style loss=305426340000.0000, tv loss=30903848.0000
L-BFGS | iteration: 115, total loss=303824240640.0000, content_loss=116363789.0625, style loss=303676950000.0000, tv loss=30939568.0000
L-BFGS | iteration: 116, total loss=302151467008.0000, content_loss=116441445.3125, style loss=302004000000.0000, tv loss=31008108.0000
L-BFGS | iteration: 117, total loss=300507136000.0000, content_loss=116581865.2344, style loss=300359490000.0000, tv loss=31068776.0000
L-BFGS | iteration: 118, total loss=298827087872.0000, content_loss=116684042.9688, style loss=298679280000.0000, tv loss=31115850.0000
L-BFGS | iteration: 119, total loss=297230139392.0000, content_loss=116810556.6406, style loss=297082140000.0000, tv loss=31180790.0000
L-BFGS | iteration: 120, total loss=295688077312.0000, content_loss=116961972.6562, style loss=295539930000.0000, tv loss=31210040.0000
L-BFGS | iteration: 121, total loss=294129795072.0000, content_loss=117136318.3594, style loss=293981310000.0000, tv loss=31323600.0000
L-BFGS | iteration: 122, total loss=292546576384.0000, content_loss=117127998.0469, style loss=292398180000.0000, tv loss=31306604.0000
L-BFGS | iteration: 123, total loss=290959622144.0000, content_loss=117398183.5938, style loss=290810760000.0000, tv loss=31465956.0000
L-BFGS | iteration: 124, total loss=289339408384.0000, content_loss=117431240.2344, style loss=289190520000.0000, tv loss=31449340.0000
L-BFGS | iteration: 125, total loss=287795773440.0000, content_loss=117549511.7188, style loss=287646720000.0000, tv loss=31536804.0000
L-BFGS | iteration: 126, total loss=286255775744.0000, content_loss=117631337.8906, style loss=286106580000.0000, tv loss=31571192.0000
