L-BFGS | iteration: 132, total loss=3091628544.0000, content_loss=199660292.9688, style loss=2882291250.0000, tv loss=9676934.0000
L-BFGS | iteration: 133, total loss=3066440960.0000, content_loss=199648632.8125, style loss=2857117500.0000, tv loss=9675095.0000
L-BFGS | iteration: 134, total loss=3037997824.0000, content_loss=199851054.6875, style loss=2828472890.6250, tv loss=9674005.0000
L-BFGS | iteration: 135, total loss=3006929920.0000, content_loss=199950351.5625, style loss=2797299609.3750, tv loss=9679753.0000
L-BFGS | iteration: 136, total loss=2959857920.0000, content_loss=200401230.4688, style loss=2749773515.6250, tv loss=9683248.0000
L-BFGS | iteration: 137, total loss=2948433664.0000, content_loss=199891933.5938, style loss=2738861953.1250, tv loss=9679578.0000
L-BFGS | iteration: 138, total loss=2912706304.0000, content_loss=200137480.4688, style loss=2702897578.1250, tv loss=9671259.0000
L-BFGS | iteration: 139, total loss=2890080768.0000, content_loss=200485625.0000, style loss=2679918046.8750, tv loss=9677146.0000
L-BFGS | iteration: 140, total loss=2871604480.0000, content_loss=200438945.3125, style loss=2661487968.7500, tv loss=9677620.0000
L-BFGS | iteration: 141, total loss=2849507328.0000, content_loss=200575214.8438, style loss=2639256093.7500, tv loss=9676104.0000
L-BFGS | iteration: 142, total loss=2814267648.0000, content_loss=200498281.2500, style loss=2604098906.2500, tv loss=9670605.0000
L-BFGS | iteration: 143, total loss=2768663040.0000, content_loss=200498378.9062, style loss=2558502890.6250, tv loss=9661686.0000
L-BFGS | iteration: 144, total loss=2765492224.0000, content_loss=200695312.5000, style loss=2555129765.6250, tv loss=9666956.0000
L-BFGS | iteration: 145, total loss=2749637632.0000, content_loss=200641679.6875, style loss=2539331718.7500, tv loss=9663996.0000
L-BFGS | iteration: 146, total loss=2735374592.0000, content_loss=200998496.0938, style loss=2524713515.6250, tv loss=9662828.0000
L-BFGS | iteration: 147, total loss=2717090048.0000, content_loss=200744257.8125, style loss=2506680234.3750, tv loss=9665608.0000
L-BFGS | iteration: 148, total loss=2699842304.0000, content_loss=200751035.1562, style loss=2489428593.7500, tv loss=9662668.0000
L-BFGS | iteration: 149, total loss=2682377984.0000, content_loss=200814882.8125, style loss=2471900390.6250, tv loss=9662597.0000
L-BFGS | iteration: 150, total loss=2662505728.0000, content_loss=200980761.7188, style loss=2451853828.1250, tv loss=9671152.0000
L-BFGS | iteration: 151, total loss=2648567552.0000, content_loss=201010312.5000, style loss=2437890000.0000, tv loss=9667058.0000
L-BFGS | iteration: 152, total loss=2619269888.0000, content_loss=201116152.3438, style loss=2408488593.7500, tv loss=9664965.0000
L-BFGS | iteration: 153, total loss=2590811392.0000, content_loss=201209511.7188, style loss=2379936328.1250, tv loss=9665583.0000
