L-BFGS | iteration: 071, total loss=12653505536.0000, content_loss=247415957.0312, style loss=12382375312.5000, tv loss=23715110.0000
L-BFGS | iteration: 072, total loss=12132454400.0000, content_loss=247670039.0625, style loss=11861010937.5000, tv loss=23773988.0000
L-BFGS | iteration: 073, total loss=11779874816.0000, content_loss=248114785.1562, style loss=11507875312.5000, tv loss=23884572.0000
L-BFGS | iteration: 074, total loss=11347557376.0000, content_loss=248190234.3750, style loss=11075539687.5000, tv loss=23827420.0000
L-BFGS | iteration: 075, total loss=11227790336.0000, content_loss=247534257.8125, style loss=10956378750.0000, tv loss=23876364.0000
L-BFGS | iteration: 076, total loss=10968840192.0000, content_loss=248035800.7812, style loss=10696934062.5000, tv loss=23870680.0000
L-BFGS | iteration: 077, total loss=10776123392.0000, content_loss=248314628.9062, style loss=10503911250.0000, tv loss=23897412.0000
L-BFGS | iteration: 078, total loss=10425245696.0000, content_loss=248730507.8125, style loss=10152561562.5000, tv loss=23953288.0000
L-BFGS | iteration: 079, total loss=9986181120.0000, content_loss=249078007.8125, style loss=9713110312.5000, tv loss=23993170.0000
L-BFGS | iteration: 080, total loss=9749797888.0000, content_loss=250741640.6250, style loss=9475057500.0000, tv loss=23998240.0000
L-BFGS | iteration: 081, total loss=9499585536.0000, content_loss=250048496.0938, style loss=9225535312.5000, tv loss=24001592.0000
L-BFGS | iteration: 082, total loss=9415298048.0000, content_loss=249715175.7812, style loss=9141516562.5000, tv loss=24066898.0000
L-BFGS | iteration: 083, total loss=9209972736.0000, content_loss=249701582.0312, style loss=8936223750.0000, tv loss=24047216.0000
L-BFGS | iteration: 084, total loss=9004334080.0000, content_loss=249761503.9062, style loss=8730519375.0000, tv loss=24053136.0000
L-BFGS | iteration: 085, total loss=8736537600.0000, content_loss=249510722.6562, style loss=8462916562.5000, tv loss=24110118.0000
L-BFGS | iteration: 086, total loss=8492045824.0000, content_loss=249281132.8125, style loss=8218622812.5000, tv loss=24141588.0000
L-BFGS | iteration: 087, total loss=8306255872.0000, content_loss=249505097.6562, style loss=8032576875.0000, tv loss=24173556.0000
L-BFGS | iteration: 088, total loss=8135772672.0000, content_loss=249594746.0938, style loss=7861969687.5000, tv loss=24208092.0000
L-BFGS | iteration: 089, total loss=7954681856.0000, content_loss=250358828.1250, style loss=7680084843.7500, tv loss=24238108.0000
L-BFGS | iteration: 090, total loss=8115216384.0000, content_loss=250207441.4062, style loss=7840633593.7500, tv loss=24375852.0000
L-BFGS | iteration: 091, total loss=7814036992.0000, content_loss=250325839.8438, style loss=7539413906.2500, tv loss=24296984.0000
L-BFGS | iteration: 092, total loss=7687040512.0000, content_loss=250098515.6250, style loss=7412652187.5000, tv loss=24289712.0000
L-BFGS | iteration: 093, total loss=7467546112.0000, content_loss=250149296.8750, style loss=7193084531.2500, tv loss=24312294.0000
L-BFGS | iteration: 094, total loss=7334744576.0000, content_loss=249639121.0938, style loss=7060760156.2500, tv loss=24345500.0000
L-BFGS | iteration: 095, total loss=7214004736.0000, content_loss=249885703.1250, style loss=6939762187.5000, tv loss=24356954.0000
L-BFGS | iteration: 096, total loss=7074480128.0000, content_loss=250487773.4375, style loss=6799540781.2500, tv loss=24451500.0000
L-BFGS | iteration: 097, total loss=6970444800.0000, content_loss=251158359.3750, style loss=6694839843.7500, tv loss=24446226.0000
L-BFGS | iteration: 098, total loss=6884414464.0000, content_loss=250989492.1875, style loss=6608962031.2500, tv loss=24462648.0000
L-BFGS | iteration: 099, total loss=6779724288.0000, content_loss=250866894.5312, style loss=6504359531.2500, tv loss=24498318.0000
L-BFGS | iteration: 100, total loss=6677654016.0000, content_loss=250873046.8750, style loss=6402281250.0000, tv loss=24499850.0000
L-BFGS | iteration: 101, total loss=6488295936.0000, content_loss=251251406.2500, style loss=6212497031.2500, tv loss=24548008.0000
L-BFGS | iteration: 102, total loss=6326828032.0000, content_loss=251131777.3438, style loss=6051126093.7500, tv loss=24570064.0000
L-BFGS | iteration: 103, total loss=6235109888.0000, content_loss=251422988.2812, style loss=5959055156.2500, tv loss=24631192.0000
L-BFGS | iteration: 104, total loss=6148645376.0000, content_loss=251824414.0625, style loss=5872193906.2500, tv loss=24626764.0000
L-BFGS | iteration: 105, total loss=6059547648.0000, content_loss=251754785.1562, style loss=5783128125.0000, tv loss=24664732.0000
L-BFGS | iteration: 106, total loss=5943840768.0000, content_loss=251728593.7500, style loss=5667426093.7500, tv loss=24686110.0000
L-BFGS | iteration: 107, total loss=5835588096.0000, content_loss=251731933.5938, style loss=5559134531.2500, tv loss=24721604.0000
L-BFGS | iteration: 108, total loss=5761405952.0000, content_loss=251904453.1250, style loss=5484759843.7500, tv loss=24741426.0000
L-BFGS | iteration: 109, total loss=5700453376.0000, content_loss=252100976.5625, style loss=5423633906.2500, tv loss=24718504.0000
L-BFGS | iteration: 110, total loss=5623143936.0000, content_loss=251985820.3125, style loss=5346387656.2500, tv loss=24770640.0000
L-BFGS | iteration: 111, total loss=5551000064.0000, content_loss=251964980.4688, style loss=5274239531.2500, tv loss=24795720.0000
L-BFGS | iteration: 112, total loss=5466027520.0000, content_loss=252184980.4688, style loss=5189023593.7500, tv loss=24818724.0000
L-BFGS | iteration: 113, total loss=5332454400.0000, content_loss=252217421.8750, style loss=5055370781.2500, tv loss=24866112.0000
L-BFGS | iteration: 114, total loss=5235470336.0000, content_loss=252702304.6875, style loss=4957866093.7500, tv loss=24902300.0000
L-BFGS | iteration: 115, total loss=5151778816.0000, content_loss=252543535.1562, style loss=4874307656.2500, tv loss=24927500.0000
L-BFGS | iteration: 116, total loss=5118253568.0000, content_loss=252574218.7500, style loss=4840781250.0000, tv loss=24898288.0000
L-BFGS | iteration: 117, total loss=5064411136.0000, content_loss=252579433.5938, style loss=4786902656.2500, tv loss=24929206.0000
L-BFGS | iteration: 118, total loss=5014505472.0000, content_loss=252630507.8125, style loss=4736915156.2500, tv loss=24959750.0000
L-BFGS | iteration: 119, total loss=4957630464.0000, content_loss=252818261.7188, style loss=4679831718.7500, tv loss=24980408.0000
L-BFGS | iteration: 120, total loss=4872604160.0000, content_loss=252986113.2812, style loss=4594600312.5000, tv loss=25018106.0000
L-BFGS | iteration: 121, total loss=4780544000.0000, content_loss=253292773.4375, style loss=4502211562.5000, tv loss=25039914.0000
L-BFGS | iteration: 122, total loss=4722292736.0000, content_loss=253112656.2500, style loss=4444082812.5000, tv loss=25097194.0000
L-BFGS | iteration: 123, total loss=4663880192.0000, content_loss=252986953.1250, style loss=4385800781.2500, tv loss=25092820.0000
L-BFGS | iteration: 124, total loss=4619934720.0000, content_loss=253069101.5625, style loss=4341756562.5000, tv loss=25108944.0000
L-BFGS | iteration: 125, total loss=4577876480.0000, content_loss=253081972.6562, style loss=4299663750.0000, tv loss=25130390.0000
L-BFGS | iteration: 126, total loss=4525095424.0000, content_loss=253115371.0938, style loss=4246831406.2500, tv loss=25148808.0000
L-BFGS | iteration: 127, total loss=4433655808.0000, content_loss=253197031.2500, style loss=4155255468.7500, tv loss=25203064.0000
L-BFGS | iteration: 128, total loss=4376461824.0000, content_loss=253431406.2500, style loss=4097838281.2500, tv loss=25191776.0000
L-BFGS | iteration: 129, total loss=4318146560.0000, content_loss=253456582.0312, style loss=4039456406.2500, tv loss=25233628.0000
L-BFGS | iteration: 130, total loss=4275475968.0000, content_loss=253528320.3125, style loss=3996700312.5000, tv loss=25247350.0000
L-BFGS | iteration: 131, total loss=4258257408.0000, content_loss=253491406.2500, style loss=3979462031.2500, tv loss=25303918.0000
L-BFGS | iteration: 132, total loss=4213543168.0000, content_loss=253568964.8438, style loss=3934695937.5000, tv loss=25278094.0000
L-BFGS | iteration: 133, total loss=4181689344.0000, content_loss=253579882.8125, style loss=3902826796.8750, tv loss=25282904.0000
L-BFGS | iteration: 134, total loss=4114481152.0000, content_loss=253419765.6250, style loss=3835740468.7500, tv loss=25320992.0000
L-BFGS | iteration: 135, total loss=4038521600.0000, content_loss=253468339.8438, style loss=3759670078.1250, tv loss=25383180.0000
